qubit,date,name,unit,value
0,2022-07-19 11:20:33-04:00,T1,us,165.1551665903373
0,2022-07-19 00:41:46-04:00,T2,us,108.6665783563903
0,2022-07-19 12:31:51-04:00,frequency,GHz,4.911085525872067
0,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3416299530013241
0,2022-07-19 00:38:01-04:00,readout_error,,0.010499999999999954
0,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.015800000000000036
0,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0052
0,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
1,2022-07-19 11:23:19-04:00,T1,us,110.31573689437971
1,2022-07-19 00:43:13-04:00,T2,us,35.624123454212885
1,2022-07-19 12:31:51-04:00,frequency,GHz,4.8348427277737125
1,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.32466910427079637
1,2022-07-19 00:38:01-04:00,readout_error,,0.0413
1,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.06479999999999997
1,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0178
1,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
2,2022-07-19 11:20:33-04:00,T1,us,126.41319600819337
2,2022-07-19 00:41:46-04:00,T2,us,108.00380874402
2,2022-07-19 12:31:51-04:00,frequency,GHz,4.982552250159286
2,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33863810849372844
2,2022-07-19 00:38:01-04:00,readout_error,,0.07650000000000001
2,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.129
2,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.024
2,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
3,2022-07-19 11:23:19-04:00,T1,us,112.08656615408357
3,2022-07-19 00:43:13-04:00,T2,us,42.21309799067261
3,2022-07-19 12:31:51-04:00,frequency,GHz,5.105344873416203
3,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3351621911862432
3,2022-07-19 00:38:01-04:00,readout_error,,0.017100000000000004
3,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.023599999999999954
3,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0106
3,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
4,2022-07-19 11:20:33-04:00,T1,us,156.6036214565345
4,2022-07-19 00:41:46-04:00,T2,us,219.43647090298506
4,2022-07-19 12:31:51-04:00,frequency,GHz,5.003949909267987
4,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33873220239666063
4,2022-07-19 00:38:01-04:00,readout_error,,0.0353
4,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.04959999999999998
4,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.021
4,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
5,2022-07-19 11:20:33-04:00,T1,us,88.52715687240637
5,2022-07-19 00:41:46-04:00,T2,us,83.18489965247822
5,2022-07-19 12:31:51-04:00,frequency,GHz,5.032862211687162
5,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33720894382745165
5,2022-07-19 00:38:01-04:00,readout_error,,0.0242
5,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.03320000000000001
5,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0152
5,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
6,2022-07-19 11:20:33-04:00,T1,us,213.34035063646542
6,2022-07-19 00:41:46-04:00,T2,us,31.684088241831933
6,2022-07-19 12:31:51-04:00,frequency,GHz,4.950928201936998
6,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.4198945429033115
6,2022-07-19 00:38:01-04:00,readout_error,,0.11750000000000005
6,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.058
6,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.17700000000000005
6,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
7,2022-07-19 07:02:52-04:00,T1,us,121.70644221375909
7,2022-07-19 00:43:13-04:00,T2,us,118.81928235662537
7,2022-07-19 12:31:51-04:00,frequency,GHz,4.902290715537297
7,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3233875324821201
7,2022-06-17 01:56:44-04:00,readout_error,,0.34939999999999993
7,2022-06-17 01:56:44-04:00,prob_meas0_prep1,,0.0278
7,2022-06-17 01:56:44-04:00,prob_meas1_prep0,,0.671
7,2022-06-17 01:56:44-04:00,readout_length,ns,5201.777777777777
8,2022-07-19 11:23:19-04:00,T1,us,24.375079810344328
8,2022-07-19 00:43:13-04:00,T2,us,34.132591990438826
8,2022-07-19 12:31:51-04:00,frequency,GHz,4.908048898559704
8,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3242773911866739
8,2022-07-19 00:38:01-04:00,readout_error,,0.056400000000000006
8,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.09999999999999998
8,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0128
8,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
9,2022-07-19 11:20:33-04:00,T1,us,112.00809418977155
9,2022-07-19 00:41:46-04:00,T2,us,127.18886110589585
9,2022-07-19 12:31:51-04:00,frequency,GHz,5.044733147208138
9,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.33853943712278195
9,2022-07-19 00:38:01-04:00,readout_error,,0.008199999999999985
9,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.0134
9,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0030000000000000027
9,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
10,2022-07-19 11:20:33-04:00,T1,us,141.22748898025804
10,2022-07-19 00:41:46-04:00,T2,us,167.47228355856188
10,2022-07-19 12:31:51-04:00,frequency,GHz,5.081764632137806
10,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3379636840612414
10,2022-07-19 00:38:01-04:00,readout_error,,0.008399999999999963
10,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.011199999999999988
10,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0056
10,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
11,2022-07-19 11:20:33-04:00,T1,us,126.17065670804854
11,2022-07-19 00:41:46-04:00,T2,us,50.25621662761577
11,2022-07-19 12:31:51-04:00,frequency,GHz,5.03482923120889
11,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3377232857931562
11,2022-07-19 00:38:01-04:00,readout_error,,0.012599999999999945
11,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.019399999999999973
11,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0058
11,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
12,2022-07-19 11:23:19-04:00,T1,us,194.43439980232327
12,2022-07-19 00:43:13-04:00,T2,us,224.401651998888
12,2022-07-19 12:31:51-04:00,frequency,GHz,4.971909672683805
12,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3227716338059607
12,2022-07-19 00:38:01-04:00,readout_error,,0.012199999999999989
12,2022-07-19 00:38:01-04:00,prob_meas0_prep1,,0.01959999999999995
12,2022-07-19 00:38:01-04:00,prob_meas1_prep0,,0.0048
12,2022-07-19 00:38:01-04:00,readout_length,ns,5201.777777777777
13,2022-07-19 11:20:33-04:00,T1,us,179.11333870376166
13,2022-07-19 00:41:46-04:00,T2,us,126.22345655693636
13,2022-07-19 12:31:51-04:00,frequency,GHz,4.867789506079848
13,2022-07-19 12:31:51-04:00,anharmonicity,GHz,-0.3406276441736398
